,Titulo,Precio,imagen
0,Producto Destacado,,https://www.alkosto.com/medias/889842651348-001-310Wx310H?context=bWFzdGVyfGltYWdlc3w0MDU2fGltYWdlL3dlYnB8YURJNUwyZzBOUzh4TkRVNU1EazRPVGsxT1RFNU9DODRPRGs0TkRJMk5URXpORGhmTURBeFh6TXhNRmQ0TXpFd1NBfDMyOTBjMjk1OTIyOTA0MjMxMjVjYWY1YjY4N2E0Mjk5MjdjZGUyZWEyMzE3MTI1ODhhODQ3YjI5ZmQ2MmMzYTQ
1,Consola PS5 Digital 1TB Slim Blanco|Negro + 1 Control inalámbrico + Juego PS5 Returnal (Voucher) + Juego PS5 Ratchet & Clank: Rift Apart (Voucher),,https://www.alkosto.com/medias/711719570820-001-310Wx310H?context=bWFzdGVyfGltYWdlc3w0NjUyfGltYWdlL3dlYnB8YUdWaUwyaGhZUzh4TkRZM05UQXlOekkyTXpVeE9DODNNVEUzTVRrMU56QTRNakJmTURBeFh6TXhNRmQ0TXpFd1NBfGQ4ZTg4MTQ3Yjc2OTI1ZTA1MjQ2ZmU2Y2I3ODM1ZGI3NTdhMTY5NzQ3MTQyMjlhNTMzOTJkZmI5OTNlNzhjNGY
2,Consola PS5 Estándar 1TB Slim Blanco|Negro + 1 Control inalámbrico + Juego PS5 Returnal + Juego PS5 Ratchet & Clank: Rift Apart,,https://www.alkosto.com/medias/711719570875-001-310Wx310H?context=bWFzdGVyfGltYWdlc3w1NzQ4fGltYWdlL3dlYnB8YURjd0wyZ3hZUzh4TkRZM05UQXpNalEwTURnMk1pODNNVEUzTVRrMU56QTROelZmTURBeFh6TXhNRmQ0TXpFd1NBfGVhY2FhNzkzNWI1MjM3YTM3MWQxYmFiZGE3NjM1MWUzNTg5NTc1MmFlNDExMmI2ZWUzODQxY2NmYTRhNzMwNmE
3,Consola NINTENDO SWITCH Modelo OLED Blanco|Negro + Juego Mario Kart 8 Deluxe + 3 Meses de Nintendo Switch Online,,https://www.alkosto.com/medias/045496885144-001-310Wx310H?context=bWFzdGVyfGltYWdlc3w0NzUyfGltYWdlL3dlYnB8YURVM0wyZzBZeTh4TkRZM09ESTJOamt3TkRZd05pOHdORFUwT1RZNE9EVXhORFJmTURBeFh6TXhNRmQ0TXpFd1NBfDlkYzJlNjU5OGFlMWZkNWFhOGZmNTQ1YzM1NDg2NGQ3ZWE5ZGMyZmMyYjJmN2I2MzMxYjY0Zjk4NmRmNmY3Y2Q
4,Consolas XBOX Series S 1TB Robot + 1 Control Inalambrico,,https://www.alkosto.com/medias/196388363148-001-310Wx310H?context=bWFzdGVyfGltYWdlc3w1Nzc0fGltYWdlL3dlYnB8YUdOaUwyZzROUzh4TkRjM01qa3dOelkzTVRVNE1pOHhPVFl6T0Rnek5qTXhORGhmTURBeFh6TXhNRmQ0TXpFd1NBfDkxYzQwMDlkZWUzYjZhN2VlYWQ1MGEzOTI1NTJhNzQzMzc1YzAxYzUxYmFhYTEwNjVmZjNiYTA2OWI2YjkyOWE
5,Consola Xbox Series X 1TB + Control Inalámbrico,,https://www.alkosto.com/medias/889842640755-001-310Wx310H?context=bWFzdGVyfGltYWdlc3wyNTY4fGltYWdlL3dlYnB8YUdFMUwyZzVZaTh4TkRVNU1EazROelU1T1Rrd01pODRPRGs0TkRJMk5EQTNOVFZmTURBeFh6TXhNRmQ0TXpFd1NBfDdjZWZhNmQ3MGJmMWFiNjk4NmYwOGU2ZGQ3MDUyMTMzNzE3YTlkNGRhZDYzM2I2MmY0N2IxOWZiZTAyMmRiMjk
6,Consola NINTENDO SWITCH™ 1.1 con Joy -Con Azul|Negro| Rojo Neon + Juego Mario Kart 8 Descargable + 3 meses de Nintendo Switch Online,,https://www.alkosto.com/medias/045496884468-001-310Wx310H?context=bWFzdGVyfGltYWdlc3wxMDc5MnxpbWFnZS93ZWJwfGFEa3hMMmhtT0M4eE5EVTVNRFUwTmpBeE9ETXpOQzh3TkRVME9UWTRPRFEwTmpoZk1EQXhYek14TUZkNE16RXdTQXwyNWJmZDI5NTk0MzZlMGQ3YzIyNzk2YmRlY2MzZTUwNmZhOWJjNjUyY2E4NmVhODQ2NjBjMDM4ZjhlMzVkMDcz
7,Consola PS5 PRO Digital 2 TB Blanco + 1 Control inalámbrico - Incluye Juego Preinstalado ASTRO’s PLAYROOM,,https://www.alkosto.com/medias/711719595700-001-310Wx310H?context=bWFzdGVyfGltYWdlc3wzMTQ0fGltYWdlL3dlYnB8YURWakwyZ3hZaTh4TkRjME5ETTBPVEE0TVRZek1DODNNVEUzTVRrMU9UVTNNREJmTURBeFh6TXhNRmQ0TXpFd1NBfGUxNjJmOGNiYTk1NTkyNmIwOGE2ZDAwNzgwYmE4OWM1N2ExZDExYWEwZjdlMjU4NGUyOWVkZjgwYzMyYmU2NzE
8,Consola NINTENDO SWITCH Modelo OLED Blanco + Juego Super Mario Bros. Wonder + 12 Meses de Nintendo Switch Online,,https://www.alkosto.com/medias/045496885267-001-310Wx310H?context=bWFzdGVyfGltYWdlc3w5MTM0fGltYWdlL3dlYnB8YUdNM0wyaGtPUzh4TkRnek5ESXdOVGswT1RrNE1pOHdORFUwT1RZNE9EVXlOamRmTURBeFh6TXhNRmQ0TXpFd1NBfDUwYWNhNWM5MGExMWJmNmE3ZTRlZTc2YjlhMTkzYzgxMzAwYTgyZGZhNWViMjc4ZTIxNWJlNDA3ODlhN2E3OTI
9,Consola NINTENDO SWITCH™ 1.1 con Joy -Con Azul|Negro| Rojo Neon + Juego Mario Kart 8 Descargable + 3 meses de Nintendo Switch Online,,https://www.alkosto.com/medias/045496885182-001-310Wx310H?context=bWFzdGVyfGltYWdlc3wyNTc2fGltYWdlL3dlYnB8YUdWaEwyaG1aUzh4TkRZM09ESTNNVFl5TXpFNU9DOHdORFUwT1RZNE9EVXhPREpmTURBeFh6TXhNRmQ0TXpFd1NBfDZkOWZiMjZkNzczZmM5Mjc2MTNjZDg1NjlkNTk4MzcxNGIyMDhiMTE3MTVmZGE0MmRiNjI3ZTEwMjkyZjdlMWQ
10,"Consola MSI 7"" Pulgadas Claw A1M - Intel Core Ultra 5 - RAM 16GB - SSD 512GB - Negro",,https://www.alkosto.com/medias/4711377211031-001-310Wx310H?context=bWFzdGVyfGltYWdlc3w2MzUwfGltYWdlL3dlYnB8YURJM0wyZzBZaTh4TkRVNE9EUTNORGs0TWpRek1DODBOekV4TXpjM01qRXhNRE14WHpBd01WOHpNVEJYZURNeE1FZ3xjZTE5NzNmOGFkY2UwYmMxOGJhZTE2MWFhNmVjMWM5NjQwZDI4ZmQxY2IxOTlhZGQ1YmRlOTBiMDA3ODc3Yzc2
11,"Consola LENOVO 8.8"" Pulgadas Legión Go 8APU1 - AMD Z1 Extreme - RAM 16GB - Disco SSD 512GB - Negro",,https://www.alkosto.com/medias/197532715035-001-310Wx310H?context=bWFzdGVyfGltYWdlc3wzMzgwfGltYWdlL3dlYnB8YUdNMUwyZ3pNaTh4TkRNMk5EQTVOelUzTmprNU1DOHhPVGMxTXpJM01UVXdNelZmTURBeFh6TXhNRmQ0TXpFd1NBfGJkNjFlNTRiOTAyNGJjYjJkOWJmNDk2MzRiMjIzZDRkZTBhMGZlY2QwYmEwY2NiYTQ4ZDQ4MzA1MDY2YTkyMzY
12,"Consola ROG 7"" Pulgadas Ally Digital 16GB RAM - 512GB SSD - Blanco",,https://www.alkosto.com/medias/4711387225073-001-310Wx310H?context=bWFzdGVyfGltYWdlc3w2MzkyfGltYWdlL3dlYnB8YUdZekwyaG1OaTh4TkRNMU5EWTFOREEyT0RjMk5pODBOekV4TXpnM01qSTFNRGN6WHpBd01WOHpNVEJYZURNeE1FZ3w2YTA5MjRkMmYzNWM4NmUxNGFhYmMwYmFhZmU2OTQwMDk1MzY2NzAyYTYwODFmNjRhOTk0NDgzOGIxYzMwY2Nm
13,Consola XBOX Series X + 1 Control Inalámbrico + Paquete Juego Digital Diablo IV,,https://www.alkosto.com/medias/196388125760-001-310Wx310H?context=bWFzdGVyfGltYWdlc3wxOTk2fGltYWdlL3dlYnB8YUdGaEwyZzVZUzh4TkRVNU1EVTFNekE1TmpJeU1pOHhPVFl6T0RneE1qVTNOakJmTURBeFh6TXhNRmQ0TXpFd1NBfGE2YWQ0NGY2ZjVjMDU1N2NlYTdhMGJkZjA1MjdlODdmN2EyYTA3MjEzMWQwZmZmNDlmZGVmMmNjYmUwNDQ3Nzk
